word,wordCount,wordavg
104woman,1,0.0045662100456621
10bn,1,0.0014064697609001
1970,2,0.0028129395218002
1980,1,0.0014064697609001
20th,1,0.0031446540880503
25bn,1,0.0014064697609001
39bn,2,0.0028129395218002
59th,1,0.0014064697609001
6th,1,0.0014064697609001
70,1,0.0014064697609001
74bn,1,0.0014064697609001
80,1,0.0014064697609001
89bn,1,0.0014064697609001
92nd,1,0.0014064697609001
More,2,0.00168362703731275
Most,1,0.0047846889952153
able,4,0.0032298929087401667
abortion,1,0.0019607843137254
absence,2,0.00174925998505255
academic,1,0.0031446540880503
access,4,0.0253600280997541
accessible,2,0.0022755619244752
accuracy,2,0.00418410041841
accurate,1,0.002092050209205
act,1,0.0044642857142857
addition,1,0.002092050209205
additional,1,0.0014064697609001
administration,3,0.0042194092827004
advice,1,0.0045662100456621
adviser,1,0.0044642857142857
advisory,1,0.0014064697609001
advocate,1,0.0047846889952153
aerosol,1,0.0044642857142857
affordable,2,0.0028129395218002
african,1,0.0019607843137254
aftermath,1,0.0294117647058823
afternoon,1,0.0014064697609001
age,2,0.0095693779904306
aid,1,0.0014064697609001
air,3,0.0031899080386871333
airborne,1,0.0044642857142857
alchemy,1,0.0014064697609001
alluring,1,0.0045662100456621
ambulance,1,0.0019607843137254
american,1,0.0294117647058823
ample,1,0.002092050209205
analysis,1,0.0019607843137254
anchor,1,0.0014064697609001
anecdote,1,0.0031446540880503
anew,1,0.0014064697609001
angina,1,0.0019607843137254
animal,1,0.0019607843137254
annual,2,0.00168362703731275
answer,1,0.0031446540880503
antibiotic,1,0.0019607843137254
antibody,16,0.0334728033472803
anticompetitive,1,0.0031446540880503
antigen,6,0.0125523012552301
antimicrobial,2,0.0039215686274509
antiquated,1,0.0014064697609001
apartment,1,0.0014064697609001
app,2,0.00168362703731275
appeal,1,0.0014064697609001
architecture,1,0.0014064697609001
ardent,1,0.0014064697609001
area,4,0.00364441135103825
argument,1,0.0044642857142857
arrangement,1,0.0031446540880503
art,2,0.0028129395218002
article,1,0.0014064697609001
artist,2,0.0062893081761006
assessment,1,0.0031446540880503
association,2,0.0091324200913242
attache,1,0.0044642857142857
attack,3,0.0042194092827004
attention,1,0.0047846889952153
attitude,1,0.0044642857142857
attraction,2,0.0588235294117647
attractive,1,0.0045662100456621
audit,1,0.0019607843137254
author,3,0.0094339622641509
authority,4,0.00384131019425755
autism,13,0.02968852612815455
autistic,2,0.0095693779904306
available,3,0.00366437725323015
average,1,0.0047846889952153
baby,1,0.0019607843137254
back,1,0.002092050209205
backlash,1,0.0045662100456621
bacteria,1,0.0019607843137254
bacterial,1,0.0019607843137254
bad,3,0.0042194092827004
bailout,1,0.0014064697609001
balanced,1,0.0153846153846153
bankruptcy,1,0.0014064697609001
barrier,1,0.0019607843137254
base,2,0.0028129395218002
basic,1,0.0014064697609001
basis,1,0.0031446540880503
bastion,1,0.0014064697609001
battle,1,0.0019607843137254
beautiful,1,0.0014064697609001
beneficial,1,0.0019607843137254
benefit,3,0.004125046244913
biennial,1,0.0019607843137254
big,4,0.0035079345518375334
billion,1,0.0014064697609001
billionaire,1,0.0014064697609001
binary,1,0.0044642857142857
biology,1,0.0019607843137254
biotech,2,0.00418410041841
bleak,1,0.0044642857142857
blood,5,0.0104602510460251
blue,2,0.00255271920088785
bluestate,1,0.0014064697609001
board,4,0.0029409246641607
body,3,0.0028390400790720333
bodys,1,0.0019607843137254
bold,1,0.0045662100456621
book,2,0.0091324200913242
bowel,3,0.005765081152078
boy,3,0.0070677940180463505
brand,2,0.0091324200913242
brave,1,0.0045662100456621
breakpoint,1,0.0014064697609001
breathing,1,0.0044642857142857
british,3,0.0037365863410754666
brow,1,0.0031446540880503
brutal,1,0.0014064697609001
budget,2,0.0028129395218002
building,2,0.0154091172333912
bulk,1,0.0047846889952153
burden,1,0.0014064697609001
bureaucracy,2,0.00255271920088785
business,19,0.013392329863664962
button,1,0.0014064697609001
cake,1,0.0014064697609001
calculation,1,0.0044642857142857
campaign,1,0.0014064697609001
cancer,3,0.0058823529411764
capable,1,0.0045662100456621
capacity,2,0.00418410041841
capital,1,0.0014064697609001
capture,2,0.0062893081761006
car,1,0.0014064697609001
care,1,0.0019607843137254
careful,1,0.0014064697609001
case,4,0.00345002463961285
catastrophe,1,0.0014064697609001
cause,1,0.0019607843137254
cell,1,0.0019607843137254
cent,15,0.00798671078199496
central,2,0.003964671541632801
centralised,1,0.002092050209205
centre,2,0.0022755619244752
century,1,0.0031446540880503
certain,2,0.0030955793780577
chain,1,0.002092050209205
chair,1,0.0019607843137254
chairman,1,0.0014064697609001
challenge,2,0.0028129395218002
challenging,1,0.0014064697609001
champagne,1,0.0014064697609001
champion,1,0.002092050209205
chance,4,0.0058707554751858005
change,5,0.005048679642660033
characteristic,1,0.0014064697609001
charge,1,0.0045662100456621
charitable,1,0.0014064697609001
cheap,3,0.0023868619177628
cheaper,1,0.0014064697609001
cheapmoney,1,0.0014064697609001
chef,1,0.0014064697609001
chemical,2,0.0033291301274335503
chief,3,0.0026105132629704003
child,11,0.02481158332551517
childhood,1,0.0047846889952153
children,1,0.0047846889952153
chinese,3,0.006276150627615
choice,1,0.0044642857142857
church,1,0.0044642857142857
circle,1,0.0014064697609001
circulatory,1,0.0014064697609001
citizenpublisher,1,0.0031446540880503
city,25,0.01785802928766435
citys,6,0.0084388185654008
civic,2,0.0028129395218002
claim,1,0.0047846889952153
clarity,1,0.0153846153846153
class,2,0.0029863399032811003
cleaner,1,0.0014064697609001
cleaning,1,0.0014064697609001
cleanliness,1,0.0014064697609001
clear,3,0.00366437725323015
clearance,1,0.0031446540880503
climate,1,0.0019607843137254
clinical,1,0.002092050209205
closedmindedness,1,0.0031446540880503
club,1,0.0045662100456621
coauthor,1,0.0047846889952153
code,2,0.00261835214862765
cold,1,0.0019607843137254
collaboration,1,0.0014064697609001
collection,1,0.002092050209205
college,1,0.0045662100456621
colonialism,1,0.0019607843137254
colonoscopy,1,0.0047846889952153
colour,1,0.002092050209205
column,3,0.0094339622641509
comfort,1,0.0045662100456621
comfortable,1,0.0045662100456621
commentator,1,0.0019607843137254
commitment,1,0.0019607843137254
committee,1,0.0031446540880503
communism,1,0.0031446540880503
community,2,0.0028129395218002
company,13,0.00937152810850745
comparable,1,0.0019607843137254
competition,1,0.0031446540880503
compilation,1,0.0031446540880503
complaint,2,0.0095693779904306
complex,1,0.0031446540880503
complicated,1,0.0014064697609001
complimentary,1,0.0019607843137254
component,1,0.002092050209205
concept,2,0.008672699849170351
concern,2,0.0095693779904306
conclusion,3,0.0021706360542252667
condition,3,0.0043531288113331
condom,1,0.0045662100456621
conference,1,0.0019607843137254
confidence,1,0.0014064697609001
confident,1,0.0047846889952153
confused,1,0.0019607843137254
conjunction,1,0.0044642857142857
consciousness,1,0.0045662100456621
consensus,1,0.0014064697609001
consequential,1,0.0014064697609001
consideration,1,0.0044642857142857
constructive,1,0.0014064697609001
consulting,1,0.0045662100456621
consumer,4,0.0045135035146133505
consumption,1,0.0019607843137254
contract,3,0.004125046244913
contrast,1,0.002092050209205
contribution,2,0.00255271920088785
contributor,1,0.0294117647058823
control,1,0.0031446540880503
convenient,1,0.0014064697609001
convention,1,0.0014064697609001
conventional,2,0.00418410041841
conversation,1,0.0031446540880503
convincing,1,0.0044642857142857
copresident,1,0.0045662100456621
copyright,3,0.0094339622641509
coronavirus,11,0.007547488671038767
corporate,3,0.0094339622641509
correct,1,0.0019607843137254
corruption,1,0.0031446540880503
cost,4,0.0045511238489504
cosy,1,0.0031446540880503
cough,1,0.0044642857142857
countdown,1,0.0019607843137254
country,14,0.006621252143071017
couple,1,0.002092050209205
course,2,0.0029863399032811003
coverage,2,0.0039215686274509
covering,5,0.0223214285714285
crackdown,1,0.0019607843137254
crash,2,0.0028129395218002
creativity,1,0.0031446540880503
credit,1,0.0014064697609001
crisis,7,0.0098452883263009
critic,1,0.0047846889952153
critical,5,0.006489153760265234
criticism,1,0.0045662100456621
crowded,1,0.0014064697609001
cult,1,0.0294117647058823
cultural,2,0.0028129395218002
culture,5,0.0052543587294005
cumulative,1,0.002092050209205
cure,2,0.0039215686274509
current,1,0.002092050209205
customer,1,0.0044642857142857
cut,2,0.0028129395218002
cyanide,1,0.0294117647058823
cyberspace,1,0.0031446540880503
cynical,1,0.0031446540880503
dance,1,0.0031446540880503
danger,1,0.0044642857142857
dark,1,0.0019607843137254
darker,1,0.0014064697609001
dataanalysis,1,0.0031446540880503
database,4,0.003447380899677
datum,7,0.00890108155048545
daughter,2,0.0028129395218002
dauteur,1,0.0031446540880503
day,8,0.00944255871949618
dead,2,0.016278209396966302
deadly,1,0.0019607843137254
dean,1,0.0045662100456621
death,4,0.011579934364744434
decade,6,0.004159930435738475
decay,1,0.0014064697609001
decision,6,0.0065896678178741334
decisionmaker,2,0.009264634736332801
decontamination,1,0.0014064697609001
deep,1,0.0014064697609001
defence,1,0.0019607843137254
delay,2,0.0020264172614652
delivery,1,0.0014064697609001
delusion,3,0.0094339622641509
density,5,0.0070323488045007
dependence,1,0.0014064697609001
dependency,1,0.0019607843137254
depression,1,0.0019607843137254
depth,1,0.0014064697609001
design,1,0.0014064697609001
devastating,2,0.0028129395218002
developer,4,0.00368203168537535
development,6,0.0052477799551577005
device,1,0.0019607843137254
diagnosis,2,0.00418410041841
diagnostic,2,0.00418410041841
difference,1,0.0153846153846153
different,4,0.005836855267251525
difficult,4,0.003099437458643325
direct,1,0.0014064697609001
directive,1,0.0031446540880503
disagreement,1,0.0044642857142857
disaster,1,0.0014064697609001
discrepancy,1,0.0019607843137254
discussion,3,0.0054446778711484
disease,6,0.0047998243927975335
disorder,5,0.0239234449760765
disparity,1,0.0014064697609001
disperse,1,0.0044642857142857
distance,4,0.0178571428571428
distancing,4,0.0178571428571428
distinction,1,0.0044642857142857
distress,1,0.0047846889952153
divisive,1,0.0014064697609001
doctor,2,0.0020264172614652
documentary,1,0.0031446540880503
dollar,2,0.0028129395218002
domain,3,0.0094339622641509
dominant,1,0.0044642857142857
done,1,0.0014064697609001
donor,1,0.0019607843137254
doomsayer,1,0.0014064697609001
door,1,0.0014064697609001
doubt,1,0.0014064697609001
doughnut,1,0.0031446540880503
downtown,1,0.0014064697609001
downturn,1,0.0014064697609001
drama,1,0.0019607843137254
drawing,1,0.002092050209205
drivein,1,0.002092050209205
driver,1,0.0014064697609001
droit,1,0.0031446540880503
droplet,4,0.0178571428571428
drove,1,0.0014064697609001
drug,8,0.02797888386123675
drugmaker,1,0.0019607843137254
due,2,0.00321253501400555
durable,1,0.002092050209205
dynamic,1,0.0045662100456621
early,3,0.004131209599183766
earthism,1,0.0031446540880503
easy,3,0.0027952850896550497
economic,6,0.00347276443253455
economy,5,0.005586703739160867
editing,1,0.002092050209205
edition,1,0.0019607843137254
effect,3,0.004125046244913
effective,3,0.0058823529411764
effectiveness,1,0.0019607843137254
effort,1,0.002092050209205
elder,1,0.0014064697609001
electronic,1,0.0031446540880503
elevator,1,0.0014064697609001
email,2,0.0039215686274509
emergency,4,0.0024733628658519997
employee,1,0.0019607843137254
employer,1,0.0014064697609001
empty,1,0.0014064697609001
end,2,0.0029353777375929003
english,1,0.0019607843137254
enough,1,0.002092050209205
enterprise,2,0.0091324200913242
entertainment,1,0.0044642857142857
entrepreneur,1,0.0045662100456621
entrepreneurship,1,0.0045662100456621
environment,1,0.0045662100456621
environmental,1,0.0019607843137254
epidemiological,1,0.002092050209205
equivalent,1,0.002092050209205
era,1,0.0014064697609001
essential,3,0.0024524948655025997
estate,1,0.0014064697609001
estimate,1,0.0047846889952153
ethic,1,0.0019607843137254
etiquette,1,0.0044642857142857
european,3,0.0041906791926528
event,3,0.0036637600245577333
everpresent,1,0.0014064697609001
evidence,5,0.009501670127290751
evidencefree,1,0.0031446540880503
evolution,1,0.0045662100456621
evolve,1,0.0153846153846153
example,6,0.0038818294314779747
excerpt,1,0.0294117647058823
exchange,1,0.0031446540880503
executive,3,0.0023868619177628
exhaustive,1,0.002092050209205
exodus,1,0.0014064697609001
expense,2,0.00168362703731275
expensive,1,0.0014064697609001
experience,3,0.0027952850896550497
experienced,1,0.002092050209205
expert,1,0.0019607843137254
explanation,1,0.0031446540880503
expression,1,0.0019607843137254
extensive,1,0.002092050209205
eye,2,0.0029353777375929003
fabric,1,0.0044642857142857
face,3,0.0133928571428571
fact,1,0.0047846889952153
factor,2,0.0307692307692307
factory,2,0.0038554320668562
faecal,2,0.0039215686274509
failure,1,0.0014064697609001
fairness,1,0.0019607843137254
faith,2,0.0028129395218002
false,4,0.005370218170950351
family,1,0.0045662100456621
famous,1,0.0019607843137254
fare,1,0.0014064697609001
fashion,1,0.0045662100456621
fast,1,0.002092050209205
fatality,1,0.0014064697609001
father,3,0.0136986301369863
favourite,2,0.0091324200913242
fear,5,0.0068943936365655
federal,2,0.0028129395218002
female,3,0.0136986301369863
few,8,0.004243039802175225
field,2,0.0022755619244752
fight,1,0.0019607843137254
figure,2,0.00174925998505255
film,1,0.0031446540880503
filmmaker,1,0.0031446540880503
finance,3,0.0026444880400958667
financial,4,0.0056258790436005
fine,2,0.003804469901168
finger,1,0.002092050209205
firm,1,0.0014064697609001
first,14,0.009528108780718672
firstclass,1,0.0014064697609001
fiscal,4,0.0056258790436005
fiveyear,1,0.0019607843137254
fix,1,0.0014064697609001
fixation,1,0.0044642857142857
flat,2,0.0062893081761006
flavour,1,0.0031446540880503
flight,1,0.0014064697609001
flood,1,0.0014064697609001
flow,1,0.0014064697609001
focus,1,0.0014064697609001
follower,1,0.0294117647058823
fool,1,0.0044642857142857
foot,1,0.0014064697609001
force,2,0.0028129395218002
former,2,0.0022755619244752
founder,1,0.0031446540880503
free,7,0.0045360852309598
freesoftware,1,0.0031446540880503
french,1,0.0019607843137254
freshman,1,0.0045662100456621
frontline,1,0.0014064697609001
full,2,0.00873833279691015
fund,2,0.00168362703731275
funding,2,0.00168362703731275
furore,1,0.0019607843137254
further,1,0.0047846889952153
future,5,0.008022770127200466
gallery,1,0.0014064697609001
gamechanger,1,0.0014064697609001
gap,1,0.0019607843137254
gastrointestinal,2,0.0095693779904306
gender,2,0.00326349717969375
gene,6,0.004447457781038733
general,1,0.0019607843137254
generation,3,0.0042194092827004
generic,1,0.0019607843137254
genetic,6,0.006832983905927101
genevabased,1,0.002092050209205
ghost,1,0.0014064697609001
gi,5,0.0239234449760765
giant,1,0.0014064697609001
girl,1,0.0019607843137254
global,10,0.0081521563876997
glue,1,0.002092050209205
goal,1,0.002092050209205
godless,1,0.0031446540880503
good,6,0.004374673069979525
government,17,0.0128281064025486
governor,1,0.0014064697609001
graduate,1,0.0045662100456621
graphic,1,0.0019607843137254
great,7,0.00341834740899878
grim,1,0.0294117647058823
grisly,1,0.0294117647058823
gritty,1,0.0014064697609001
ground,1,0.0031446540880503
group,5,0.003380564676086833
guard,1,0.0014064697609001
guidance,1,0.0019607843137254
guideline,1,0.0019607843137254
gunpoint,1,0.0014064697609001
gut,1,0.0019607843137254
gym,1,0.0044642857142857
half,2,0.0046244873547505
handful,1,0.0045662100456621
harassment,1,0.0019607843137254
harm,1,0.0031446540880503
harmful,1,0.0019607843137254
hastilyerected,1,0.0014064697609001
head,4,0.0024733628658519997
headquarters,1,0.0014064697609001
health,27,0.01165667688462736
healthcare,3,0.0042438893365565
healthftcom,1,0.0019607843137254
healthy,1,0.0019607843137254
hearing,3,0.0058823529411764
heart,1,0.0019607843137254
heavy,2,0.0029353777375929003
here,1,0.0019607843137254
high,4,0.0025063785823731498
highlight,1,0.0019607843137254
highquality,1,0.002092050209205
highrisk,1,0.0019607843137254
hightax,1,0.0014064697609001
history,4,0.01681558699429135
hold,1,0.0019607843137254
hole,1,0.0014064697609001
honest,1,0.0031446540880503
hope,5,0.0031082825614920334
hospital,3,0.0027952850896550497
hospitality,1,0.0044642857142857
host,1,0.0153846153846153
hostility,1,0.0014064697609001
hour,1,0.002092050209205
housing,2,0.0028129395218002
hub,1,0.0014064697609001
huge,4,0.0028023460259543748
human,2,0.0039215686274509
hundred,2,0.0030955793780577
hunger,1,0.002092050209205
hurricane,1,0.0014064697609001
icing,1,0.0014064697609001
idea,3,0.00542775911088135
ideal,1,0.0045662100456621
ideology,1,0.0031446540880503
illness,1,0.0019607843137254
imaginative,1,0.002092050209205
imbalance,1,0.0019607843137254
immediate,1,0.0014064697609001
immune,1,0.002092050209205
immunisation,1,0.0019607843137254
immunity,1,0.002092050209205
immunology,1,0.002092050209205
impact,2,0.0029863399032811003
impatience,1,0.002092050209205
imperative,1,0.002092050209205
imperfect,1,0.0044642857142857
important,3,0.00537679694519315
impossible,1,0.0014064697609001
inaccurate,1,0.002092050209205
incentive,2,0.00255271920088785
inch,1,0.0014064697609001
incident,1,0.0019607843137254
inclined,1,0.0014064697609001
incorrect,1,0.002092050209205
increase,2,0.0039215686274509
incredible,1,0.0045662100456621
indignity,1,0.0014064697609001
individual,1,0.002092050209205
indoor,4,0.0178571428571428
industry,8,0.0061055129084873
inequality,2,0.0039215686274509
inequity,1,0.0014064697609001
infant,1,0.0047846889952153
infected,2,0.0089285714285714
infection,11,0.006735044241908
infectious,2,0.00337273665447035
information,3,0.004125046244913
infrastructure,1,0.002092050209205
infusion,1,0.0014064697609001
initiative,1,0.0045662100456621
injection,1,0.0019607843137254
innovation,4,0.0125786163522012
innovative,4,0.006296882431883175
insect,1,0.0019607843137254
inspiration,1,0.0045662100456621
instance,1,0.002092050209205
institution,1,0.0014064697609001
insulin,1,0.0019607843137254
intake,1,0.0019607843137254
intellectual,3,0.00384788896850035
interest,2,0.0022755619244752
interested,1,0.0045662100456621
interference,1,0.0019607843137254
internal,1,0.0014064697609001
international,5,0.004998521932922267
interval,1,0.0014064697609001
intervention,1,0.0019607843137254
intestine,1,0.0047846889952153
invading,1,0.0019607843137254
inventor,1,0.0031446540880503
investigation,1,0.0019607843137254
investment,3,0.0023868619177628
isolation,1,0.0019607843137254
issue,5,0.011524764588931851
job,4,0.004166558055316567
jonestown,1,0.0294117647058823
journal,2,0.00337273665447035
jungle,1,0.0294117647058823
key,2,0.00174925998505255
kid,1,0.0047846889952153
kit,8,0.0167364016736401
kitchen,2,0.0029863399032811003
knock,1,0.0019607843137254
lab,6,0.0125523012552301
laboratory,2,0.00418410041841
laggard,1,0.002092050209205
landmine,1,0.0031446540880503
landscape,3,0.0176167582417582
large,6,0.0038493879297202328
last,7,0.00458451621472905
late,1,0.0014064697609001
latestage,1,0.0019607843137254
